Year,Month,Cards,CardsPredicted,BorderCrossing
2016,X M, 159102 ,120619.34, 527895 
2016,XI M, 128230 ,105456.79, 459257 
2016,XII M, 145175 ,111497.4662, 486602 
2017,I M, 152896 ,89663.11142, 387762 
2017,II M, 140168 ,85335.78265, 368173 
2017,III M, 167715 ,116896.4102, 511042 
2017,IV M, 160454 ,116830.3593, 510743 
2017,V M, 165049 ,126176.011, 553049 
2017,VI M, 165053 ,151235.1523, 666487 
2017,VII M, 203899 ,221063.7781, 982588 
2017,VIII M, 212009 ,242713.8972, 1080594 
2017,IX M, 286612 ,172720.6964, 763748 
2017,X M, 146134 ,138309.0553, 607973 
2017,XI M, 127578 ,119782.3269, 524106 
2017,XII M, 132163 ,136549.5385, 600008 
2018,I M, 135197 ,102139.6646, 444241 
2018,II M, 122764 ,101380.8523, 440806 
2018,III M, 152997 ,131801.3837, 578514 
2018,IV M, 149540 ,135819.444, 596703 
2018,V M, 170825 ,134989.9418, 592948 
2018,VI M, 189958 ,172329.9136, 761979 
2018,VII M, 232512 ,243182.4389, 1082715 
2018,VIII M, 247455 ,265924.0548, 1185662 
2018,IX M, 207708 ,184014.0768, 814871 
2018,X M, 193933 ,150249.9113, 662027 
2018,XI M, 157365 ,127396.9587, 558576 
